q_x1_0,q_x1_1,q_x1_2,q_x1_3
1.00020039,-0.01502446,0.00458515,-0.04150930
1.00018597,-0.01500333,0.00813446,-0.04263926
1.00021648,-0.01535814,0.00528306,-0.04362774
1.00018108,-0.01517225,0.00641694,-0.04471438
1.00010943,-0.01654401,0.00803140,-0.04594073
1.00017214,-0.01574505,0.00630207,-0.04662766
1.00016713,-0.01596326,0.00834825,-0.04706755
1.00020778,-0.01481176,0.00752736,-0.04754648
1.00020540,-0.01460547,0.00589192,-0.04853503
1.00016463,-0.01585431,0.00710300,-0.04871716
1.00019205,-0.01297945,0.00722999,-0.04993352
1.00006521,-0.01820959,0.00746616,-0.05069619
1.00016594,-0.01600437,0.00455211,-0.05159373
1.00020409,-0.01492041,0.00543661,-0.05230235
1.00009549,-0.01657178,0.00716034,-0.05328420
1.00009859,-0.01723671,0.00749214,-0.05404347
1.00009990,-0.01784593,0.00679236,-0.05443335
1.00020754,-0.01413866,0.00582261,-0.05534666
1.00009954,-0.01705558,0.00553023,-0.05625471
1.00020921,-0.01442081,0.00459493,-0.05708791
1.00021219,-0.01416733,0.00629286,-0.05793555
1.00019407,-0.01475700,0.00396084,-0.05830383
1.00011384,-0.01713832,0.00213931,-0.05983401
1.00015199,-0.01332078,0.00870277,-0.06053152
1.00023210,-0.01345755,0.00661004,-0.06075649
1.00014782,-0.01596979,0.00569561,-0.06097714
1.00022292,-0.01429734,0.00256460,-0.06152133
1.00013101,-0.01521011,0.00780057,-0.06184856
1.00012541,-0.01679605,0.00465507,-0.06169374
1.00005698,-0.01628728,0.00867338,-0.06229963
1.00004029,-0.01653457,0.00983216,-0.06241733
1.00008047,-0.01573203,0.00509334,-0.06344934
1.00019789,-0.01354407,0.00638130,-0.06295908
1.00011551,-0.01465686,0.00942759,-0.06301962
1.00017357,-0.01507469,0.00572520,-0.06384128
1.00012350,-0.01688737,0.00345186,-0.06447505
1.00014722,-0.01268001,0.00925614,-0.06447025
1.00005150,-0.01785469,0.00878159,-0.06403442
1.00017524,-0.01331158,0.00638344,-0.06406297
1.00010180,-0.01618592,0.00730246,-0.06426428
1.00020802,-0.01321519,0.00476853,-0.06472436
1.00006676,-0.01724836,0.00737452,-0.06447003
1.00007474,-0.01606267,0.00543955,-0.06509189
1.00010431,-0.01477834,0.00827174,-0.06538877
1.00008237,-0.01870416,0.00495352,-0.06544595
