q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,0.88432777,-0.33947727,-0.00288110f
0.00000000,0.94015479,-0.33823428,-0.00267531f
0.00000000,0.75572461,-0.23640297,-0.00308689f
0.00000000,0.95392543,-0.26703694,-0.00308689f
0.00000000,0.87174487,-0.35545850,-0.00246951f
0.00000000,0.89687079,-0.37433541,-0.00349848f
0.00000000,0.90517253,-0.17598070,-0.00267531f
0.00000000,0.88948441,-0.38666144,-0.00267531f
0.00000000,0.87728357,-0.31213266,-0.00246951f
0.00000000,0.78509015,-0.20587206,-0.00267531f
0.00000000,0.85125554,-0.34409034,-0.00288110f
0.00000000,0.86280519,-0.16093922,-0.00246951f
0.00000000,0.92104626,-0.25155607,-0.00226372f
0.00000000,0.95792520,-0.32897443,-0.00226372f
0.00000000,0.83411914,-0.25256783,-0.00288110f
0.00000000,0.99769014,-0.25166398,-0.00205793f
0.00000000,0.68286127,-0.26761171,-0.00308689f
0.00000000,0.86179757,-0.40257746,-0.00267531f
0.00000000,0.90500367,-0.40202978,-0.00267531f
0.00000000,0.80744988,-0.26846781,-0.00246951f
0.00000000,0.76910919,-0.25097573,-0.00308689f
0.00000000,0.74445927,-0.31361377,-0.00267531f
0.00000000,0.95870972,-0.35404572,-0.00246951f
0.00000000,0.77107549,-0.37243882,-0.00267531f
0.00000000,0.92487937,-0.42719671,-0.00288110f
0.00000000,0.99500656,-0.32614091,-0.00246951f
0.00000000,0.90872860,-0.47922274,-0.00288110f
0.00000000,0.79662472,-0.56546074,-0.00246951f
0.00000000,0.97884196,-0.14540809,-0.00329268f
0.00000000,1.01007962,-0.34137774,-0.00288110f
0.00000000,0.86168438,-0.32690421,-0.00246951f
0.00000000,0.98332256,-0.53946680,-0.00246951f
0.00000000,0.85707188,-0.23537494,-0.00267531f
0.00000000,0.77739745,-0.46675625,-0.00246951f
0.00000000,0.78474408,-0.19057354,-0.00226372f
0.00000000,0.75906527,-0.13115774,-0.00288110f
0.00000000,0.84547305,-0.37173992,-0.00267531f
0.00000000,0.93677711,-0.31213933,-0.00329268f
0.00000000,0.87478536,-0.13036674,-0.00185213f
0.00000000,0.92018151,-0.32110226,-0.00246951f
0.00000000,0.79629987,-0.50589812,-0.00267531f
0.00000000,1.00299466,-0.11627157,-0.00267531f
0.00000000,0.68072647,-0.19129217,-0.00267531f
0.00000000,0.98213118,-0.28161532,-0.00205793f
0.00000000,0.79759562,-0.28076738,-0.00246951f
0.00000000,0.98559803,-0.39764854,-0.00246951f
0.00000000,0.74901354,-0.26973152,-0.00246951f
0.00000000,0.81998783,-0.38924029,-0.00246951f
0.00000000,0.85235971,-0.17408741,-0.00308689f
0.00000000,0.67271894,-0.39823166,-0.00246951f
0.00000000,1.09856474,-0.23563959,-0.00205793f
0.00000000,0.78848422,-0.22209425,-0.00246951f
0.00000000,0.85818696,-0.19035900,-0.00288110f
0.00000000,0.99600518,-0.23620538,-0.00226372f
0.00000000,1.01280129,-0.31188104,-0.00205793f
0.00000000,0.92537516,-0.16116221,-0.00246951f
0.00000000,0.75561965,-0.16081211,-0.00267531f
0.00000000,0.84255695,-0.34056184,-0.00288110f
0.00000000,0.84399670,-0.40130517,-0.00288110f
0.00000000,0.93735009,-0.16094930,-0.00246951f
0.00000000,0.82948005,-0.26589930,-0.00226372f
0.00000000,0.77834147,-0.29928979,-0.00226372f
0.00000000,0.90156305,-0.62552321,-0.00267531f
0.00000000,0.94111902,-0.32875830,-0.00226372f
0.00000000,0.67301750,-0.21848311,-0.00288110f
0.00000000,0.79495716,-0.25395402,-0.00308689f
0.00000000,0.90307099,-0.22048374,-0.00288110f
0.00000000,0.75075239,-0.62489754,-0.00267531f
0.00000000,0.87841362,-0.27733269,-0.00308689f
0.00000000,1.02034521,-0.27938113,-0.00226372f
0.00000000,0.84814489,-0.16103010,-0.00267531f
0.00000000,0.88991332,-0.53766185,-0.00226372f
0.00000000,0.73811257,-0.25082585,-0.00308689f
0.00000000,0.97019041,-0.04031191,-0.00288110f
0.00000000,0.97221690,-0.11619863,-0.00246951f
