q_x1_0,q_x1_1,q_x1_2,q_x1_3
0.00000000,-0.02983994,0.01070122,-0.00226372f
0.00000000,-0.02922256,0.01028963,-0.00246951f
0.00000000,-0.02901677,0.01070122,-0.00288110f
0.00000000,-0.02922256,0.01049543,-0.00246951f
0.00000000,-0.02942835,0.01070122,-0.00267531f
0.00000000,-0.02922256,0.01049543,-0.00226372f
0.00000000,-0.02963415,0.01070122,-0.00308689f
0.00000000,-0.02963415,0.01049543,-0.00226372f
0.00000000,-0.02901677,0.01028963,-0.00308689f
0.00000000,-0.02983994,0.01070122,-0.00349848f
0.00000000,-0.02942835,0.01028963,-0.00308689f
0.00000000,-0.02860518,0.01070122,-0.00267531f
0.00000000,-0.02942835,0.00987805,-0.00246951f
0.00000000,-0.02963415,0.01049543,-0.00226372f
0.00000000,-0.02983994,0.01070122,-0.00267531f
0.00000000,-0.02881098,0.01070122,-0.00288110f
0.00000000,-0.02901677,0.01090701,-0.00226372f
0.00000000,-0.02881098,0.01049543,-0.00349848f
0.00000000,-0.02942835,0.01111281,-0.00246951f
0.00000000,-0.02922256,0.01090701,-0.00246951f
0.00000000,-0.02922256,0.01070122,-0.00288110f
0.00000000,-0.02922256,0.01070122,-0.00288110f
0.00000000,-0.02983994,0.01008384,-0.00329268f
0.00000000,-0.02942835,0.01049543,-0.00308689f
0.00000000,-0.02901677,0.01049543,-0.00329268f
0.00000000,-0.02922256,0.01070122,-0.00329268f
0.00000000,-0.02942835,0.01070122,-0.00288110f
0.00000000,-0.02942835,0.01028963,-0.00267531f
0.00000000,-0.02922256,0.01028963,-0.00329268f
0.00000000,-0.02922256,0.01049543,-0.00349848f
0.00000000,-0.02942835,0.01049543,-0.00288110f
0.00000000,-0.02963415,0.00967226,-0.00246951f
0.00000000,-0.02963415,0.00987805,-0.00267531f
0.00000000,-0.02922256,0.01028963,-0.00308689f
0.00000000,-0.02963415,0.01028963,-0.00267531f
0.00000000,-0.02983994,0.01070122,-0.00267531f
0.00000000,-0.02881098,0.01049543,-0.00349848f
0.00000000,-0.02942835,0.01049543,-0.00205793f
0.00000000,-0.02901677,0.01049543,-0.00267531f
0.00000000,-0.02963415,0.00967226,-0.00246951f
0.00000000,-0.02942835,0.01028963,-0.00246951f
0.00000000,-0.02922256,0.01028963,-0.00267531f
0.00000000,-0.02963415,0.01070122,-0.00329268f
0.00000000,-0.02963415,0.01028963,-0.00308689f
0.00000000,-0.02963415,0.01028963,-0.00226372f
0.00000000,-0.02860518,0.01008384,-0.00267531f
0.00000000,-0.02901677,0.01131860,-0.00267531f
0.00000000,-0.02942835,0.01049543,-0.00226372f
0.00000000,-0.02922256,0.01070122,-0.00246951f
0.00000000,-0.02901677,0.01111281,-0.00246951f
0.00000000,-0.02942835,0.01028963,-0.00205793f
0.00000000,-0.02942835,0.01070122,-0.00288110f
0.00000000,-0.02922256,0.01049543,-0.00226372f
0.00000000,-0.02983994,0.00987805,-0.00226372f
0.00000000,-0.02983994,0.00987805,-0.00267531f
0.00000000,-0.02963415,0.01008384,-0.00246951f
0.00000000,-0.02942835,0.01090701,-0.00267531f
0.00000000,-0.02922256,0.01070122,-0.00288110f
0.00000000,-0.02963415,0.01049543,-0.00246951f
0.00000000,-0.02983994,0.01111281,-0.00267531f
0.00000000,-0.02942835,0.01049543,-0.00288110f
0.00000000,-0.02922256,0.01049543,-0.00246951f
0.00000000,-0.02942835,0.01090701,-0.00308689f
0.00000000,-0.02922256,0.01049543,-0.00246951f
0.00000000,-0.02922256,0.01049543,-0.00288110f
0.00000000,-0.02942835,0.01070122,-0.00205793f
0.00000000,-0.02942835,0.01049543,-0.00226372f
0.00000000,-0.02942835,0.01090701,-0.00246951f
0.00000000,-0.02983994,0.01111281,-0.00246951f
0.00000000,-0.02942835,0.01090701,-0.00205793f
0.00000000,-0.02942835,0.01070122,-0.00267531f
0.00000000,-0.02881098,0.01008384,-0.00288110f
0.00000000,-0.02983994,0.01008384,-0.00267531f
0.00000000,-0.02963415,0.01090701,-0.00288110f
0.00000000,-0.02942835,0.00987805,-0.00288110f
0.00000000,-0.02963415,0.01070122,-0.00226372f
0.00000000,-0.02963415,0.01070122,-0.00288110f
0.00000000,-0.02942835,0.00987805,-0.00246951f
0.00000000,-0.02901677,0.01028963,-0.00288110f
0.00000000,-0.02942835,0.00987805,-0.00226372f
0.00000000,-0.02942835,0.00946646,-0.00308689f
0.00000000,-0.02963415,0.01111281,-0.00288110f
0.00000000,-0.02983994,0.01028963,-0.00226372f
0.00000000,-0.02901677,0.01049543,-0.00246951f
0.00000000,-0.02881098,0.01049543,-0.00226372f
0.00000000,-0.02901677,0.01070122,-0.00308689f
0.00000000,-0.02942835,0.01070122,-0.00185213f
0.00000000,-0.02942835,0.01008384,-0.00288110f
0.00000000,-0.02942835,0.01049543,-0.00246951f
0.00000000,-0.02922256,0.01090701,-0.00308689f
0.00000000,-0.02942835,0.01070122,-0.00267531f
0.00000000,-0.02942835,0.01049543,-0.00267531f
0.00000000,-0.02963415,0.01028963,-0.00246951f
0.00000000,-0.02983994,0.00987805,-0.00246951f
